Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
1 member(s) 1 organism(s),a-proteobacteria,MAG: hypothetical protein B7Y31_12075 [Novosphingobium sp. 16-62-11],45.8,45.8,49%,0.010,33.33,115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OYZ32671.1?report=genbank&log$=prottop&blast_rank=424&RID=AVF030C7015"",""OYZ32671.1"")"
1 member(s) 1 organism(s),bacteria,"MAG: lasso peptide biosynthesis B2 protein, partial [Acidobacteriota bacterium]",45.4,45.4,31%,0.010,37.93,91,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PYY13093.1?report=genbank&log$=prottop&blast_rank=425&RID=AVF030C7015"",""PYY13093.1"")"
2 member(s) 2 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Burkholderia savannae],47.4,47.4,32%,0.010,40.98,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_060821851.1?report=genbank&log$=prottop&blast_rank=426&RID=AVF030C7015"",""WP_060821851.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Aquabacterium humicola],47.4,47.4,60%,0.010,32.77,221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_284618539.1?report=genbank&log$=prottop&blast_rank=427&RID=AVF030C7015"",""WP_284618539.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Piscinibacter koreensis],46.6,46.6,30%,0.010,43.86,165,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NUZ08953.1?report=genbank&log$=prottop&blast_rank=428&RID=AVF030C7015"",""NUZ08953.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Acidobacteriota bacterium],46.2,46.2,34%,0.010,36.51,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBI3476435.1?report=genbank&log$=prottop&blast_rank=429&RID=AVF030C7015"",""MBI3476435.1"")"
6 member(s) 2 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Burkholderia thailandensis],47.4,47.4,60%,0.011,31.15,241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_009891230.1?report=genbank&log$=prottop&blast_rank=430&RID=AVF030C7015"",""WP_009891230.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Edaphobacter sp.],45.8,45.8,64%,0.011,28.79,125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGD0446169.1?report=genbank&log$=prottop&blast_rank=431&RID=AVF030C7015"",""MGD0446169.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Asticcacaulis sp. SL142],47.0,47.0,70%,0.011,29.71,177,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_267527553.1?report=genbank&log$=prottop&blast_rank=432&RID=AVF030C7015"",""WP_267527553.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium sp. D43FB],45.1,45.1,30%,0.011,42.11,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096063456.1?report=genbank&log$=prottop&blast_rank=433&RID=AVF030C7015"",""WP_096063456.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingopyxis indica],47.0,47.0,70%,0.011,29.10,195,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_170935538.1?report=genbank&log$=prottop&blast_rank=434&RID=AVF030C7015"",""WP_170935538.1"")"
6 member(s) 5 organism(s),b-proteobacteria,transglutaminase-like superfamily protein [Burkholderia mallei],47.0,47.0,32%,0.011,39.34,184,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOS85664.1?report=genbank&log$=prottop&blast_rank=435&RID=AVF030C7015"",""KOS85664.1"")"
1 member(s) 1 organism(s),firmicutes,lasso peptide biosynthesis B2 protein [Paenibacillus cellulositrophicus],46.2,46.2,57%,0.011,26.85,139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_251673963.1?report=genbank&log$=prottop&blast_rank=436&RID=AVF030C7015"",""WP_251673963.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],47.4,47.4,56%,0.011,30.91,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGH8169531.1?report=genbank&log$=prottop&blast_rank=437&RID=AVF030C7015"",""MGH8169531.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Sulfotelmatobacter sp.],46.2,46.2,31%,0.011,37.93,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HKV80547.1?report=genbank&log$=prottop&blast_rank=438&RID=AVF030C7015"",""HKV80547.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrum sp.],45.8,45.8,31%,0.011,37.93,123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGB2664442.1?report=genbank&log$=prottop&blast_rank=439&RID=AVF030C7015"",""MGB2664442.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Roseateles sp. NT4],47.4,47.4,46%,0.011,34.09,241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_439461894.1?report=genbank&log$=prottop&blast_rank=440&RID=AVF030C7015"",""WP_439461894.1"")"
1 member(s) 1 organism(s),proteobacteria,lasso peptide biosynthesis B2 protein [Pseudomonadota bacterium],47.4,47.4,38%,0.011,36.11,252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEO1018263.1?report=genbank&log$=prottop&blast_rank=441&RID=AVF030C7015"",""MEO1018263.1"")"
3 member(s) 3 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Burkholderia humptydooensis],47.4,47.4,32%,0.011,40.98,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_015602407.1?report=genbank&log$=prottop&blast_rank=442&RID=AVF030C7015"",""WP_015602407.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrales bacterium],45.8,45.8,31%,0.012,39.66,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEV2615164.1?report=genbank&log$=prottop&blast_rank=443&RID=AVF030C7015"",""HEV2615164.1"")"
1 member(s) 1 organism(s),b-proteobacteria,hypothetical protein [Rubrivivax gelatinosus],47.4,47.4,30%,0.012,43.86,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBZ8139694.1?report=genbank&log$=prottop&blast_rank=444&RID=AVF030C7015"",""MBZ8139694.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Brevundimonas sp.],47.0,47.0,60%,0.012,31.58,216,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_312571159.1?report=genbank&log$=prottop&blast_rank=445&RID=AVF030C7015"",""WP_312571159.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Terriglobus albidus],46.2,46.2,31%,0.012,37.93,143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_263415255.1?report=genbank&log$=prottop&blast_rank=446&RID=AVF030C7015"",""WP_263415255.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Acidobacteriota bacterium],45.1,45.1,29%,0.012,42.11,97,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBS1842021.1?report=genbank&log$=prottop&blast_rank=447&RID=AVF030C7015"",""MBS1842021.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Caulobacter sp. AP07],47.0,47.0,46%,0.012,35.23,216,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_007662803.1?report=genbank&log$=prottop&blast_rank=448&RID=AVF030C7015"",""WP_007662803.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Novosphingobium terrae],47.4,47.4,30%,0.012,45.61,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_206240145.1?report=genbank&log$=prottop&blast_rank=449&RID=AVF030C7015"",""WP_206240145.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Novosphingobium rosa],47.0,47.0,30%,0.012,45.61,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_068087197.1?report=genbank&log$=prottop&blast_rank=450&RID=AVF030C7015"",""WP_068087197.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Novosphingobium panipatense],44.7,44.7,34%,0.012,36.51,74,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFD1961666.1?report=genbank&log$=prottop&blast_rank=451&RID=AVF030C7015"",""MFD1961666.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Luteithermobacter gelatinilyticus],47.0,47.0,63%,0.012,26.92,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_168190234.1?report=genbank&log$=prottop&blast_rank=452&RID=AVF030C7015"",""WP_168190234.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Terriglobus sp. ADX1],45.8,45.8,59%,0.012,27.03,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_334240242.1?report=genbank&log$=prottop&blast_rank=453&RID=AVF030C7015"",""WP_334240242.1"")"
1 member(s) 1 organism(s),a-proteobacteria,hypothetical protein [Erythrobacteraceae bacterium],47.0,47.0,93%,0.012,28.57,229,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN91534.1?report=genbank&log$=prottop&blast_rank=454&RID=AVF030C7015"",""MBN91534.1"")"
3 member(s) 3 organism(s),a-proteobacteria,MULTISPECIES: lasso peptide biosynthesis B2 protein [Sphingobium],47.0,47.0,49%,0.013,32.26,221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_169575071.1?report=genbank&log$=prottop&blast_rank=455&RID=AVF030C7015"",""WP_169575071.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Rhodanobacter sp. DHG33],47.0,47.0,38%,0.013,36.49,221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_192164256.1?report=genbank&log$=prottop&blast_rank=456&RID=AVF030C7015"",""WP_192164256.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Edaphobacter sp.],46.2,46.2,71%,0.013,28.17,152,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HMH13941.1?report=genbank&log$=prottop&blast_rank=457&RID=AVF030C7015"",""HMH13941.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Allosphingosinicella deserti],47.0,47.0,31%,0.013,42.37,219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_106512340.1?report=genbank&log$=prottop&blast_rank=458&RID=AVF030C7015"",""WP_106512340.1"")"
2 member(s) 2 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium chlorophenolicum],47.0,47.0,90%,0.013,25.74,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_051749893.1?report=genbank&log$=prottop&blast_rank=459&RID=AVF030C7015"",""WP_051749893.1"")"
1 member(s) 1 organism(s),bacteria,hypothetical protein [Candidatus Acidiferrum typicum],47.4,47.4,65%,0.013,29.69,262,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCU1317992.1?report=genbank&log$=prottop&blast_rank=460&RID=AVF030C7015"",""MCU1317992.1"")"
1 member(s) 1 organism(s),a-proteobacteria,"MAG: lasso peptide biosynthesis B2 protein, partial [Sphingomonas sp.]",44.3,44.3,35%,0.013,40.91,72,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RZM28193.1?report=genbank&log$=prottop&blast_rank=461&RID=AVF030C7015"",""RZM28193.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas sp. AR_OL41],47.0,47.0,60%,0.013,33.61,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_281128533.1?report=genbank&log$=prottop&blast_rank=462&RID=AVF030C7015"",""WP_281128533.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Edaphobacter acidisoli],45.8,45.8,31%,0.013,36.21,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_188760793.1?report=genbank&log$=prottop&blast_rank=463&RID=AVF030C7015"",""WP_188760793.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Woeseiaceae bacterium],47.4,47.4,38%,0.013,33.80,241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGH8195877.1?report=genbank&log$=prottop&blast_rank=464&RID=AVF030C7015"",""MGH8195877.1"")"
1 member(s) 1 organism(s),firmicutes,lasso peptide biosynthesis B2 protein [Rossellomorea aquimaris],45.8,45.8,36%,0.013,35.29,130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_397554340.1?report=genbank&log$=prottop&blast_rank=465&RID=AVF030C7015"",""WP_397554340.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Luteimonas sp. SDU101],47.0,47.0,38%,0.013,34.72,229,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_434933387.1?report=genbank&log$=prottop&blast_rank=466&RID=AVF030C7015"",""WP_434933387.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Terriglobales bacterium],45.8,45.8,33%,0.013,37.10,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HMJ21396.1?report=genbank&log$=prottop&blast_rank=467&RID=AVF030C7015"",""HMJ21396.1"")"
2 member(s) 2 organism(s),alpha-4 proteobacteria,MULTISPECIES: lasso peptide biosynthesis B2 protein [Sphingomonadaceae],47.0,47.0,51%,0.013,31.31,215,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_077145342.1?report=genbank&log$=prottop&blast_rank=468&RID=AVF030C7015"",""WP_077145342.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Terriglobales bacterium],45.4,45.4,31%,0.013,36.21,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HYU45243.1?report=genbank&log$=prottop&blast_rank=469&RID=AVF030C7015"",""HYU45243.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Gemmatimonadaceae bacterium],46.6,46.6,49%,0.013,34.74,194,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBC7673069.1?report=genbank&log$=prottop&blast_rank=470&RID=AVF030C7015"",""MBC7673069.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium yanoikuyae],46.6,46.6,55%,0.014,30.77,169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_421121122.1?report=genbank&log$=prottop&blast_rank=471&RID=AVF030C7015"",""WP_421121122.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Burkholderia gladioli],47.0,47.0,68%,0.014,29.50,231,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186144466.1?report=genbank&log$=prottop&blast_rank=472&RID=AVF030C7015"",""WP_186144466.1"")"
1 member(s) 1 organism(s),firmicutes,lasso peptide biosynthesis B2 protein [Bacillus sp. NTK074B],45.8,45.8,63%,0.014,21.77,130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_206856250.1?report=genbank&log$=prottop&blast_rank=473&RID=AVF030C7015"",""WP_206856250.1"")"
2 member(s) 2 organism(s),eubacteria,lasso peptide biosynthesis B2 protein [Sphingopyxis sp.],47.0,47.0,91%,0.014,25.13,214,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBJ7439934.1?report=genbank&log$=prottop&blast_rank=474&RID=AVF030C7015"",""MBJ7439934.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Novosphingobium sp.],46.2,46.2,49%,0.014,33.70,146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFT4054927.1?report=genbank&log$=prottop&blast_rank=475&RID=AVF030C7015"",""MFT4054927.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Asticcacaulis sp. YBE204],47.0,47.0,84%,0.014,26.06,213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_023462667.1?report=genbank&log$=prottop&blast_rank=476&RID=AVF030C7015"",""WP_023462667.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Cloacimonadota bacterium],45.8,45.8,29%,0.014,42.59,130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLG63012.1?report=genbank&log$=prottop&blast_rank=477&RID=AVF030C7015"",""NLG63012.1"")"
1 member(s) 1 organism(s),high G+C Gram-positive bacteria,lasso peptide biosynthesis B2 protein [Haloechinothrix sp. LS1_15],47.0,47.0,39%,0.015,34.67,247,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_317495783.1?report=genbank&log$=prottop&blast_rank=478&RID=AVF030C7015"",""WP_317495783.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Gemmatimonadota bacterium],47.4,47.4,61%,0.015,29.92,341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFZ5623158.1?report=genbank&log$=prottop&blast_rank=479&RID=AVF030C7015"",""MFZ5623158.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Thermomicrobiales bacterium],47.0,47.0,93%,0.015,26.85,221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGD9714240.1?report=genbank&log$=prottop&blast_rank=480&RID=AVF030C7015"",""MGD9714240.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Terracidiphilus sp.],45.4,45.4,58%,0.015,26.72,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HUD55252.1?report=genbank&log$=prottop&blast_rank=481&RID=AVF030C7015"",""HUD55252.1"")"
1 member(s) 1 organism(s),a-proteobacteria,MAG: lasso peptide biosynthesis B2 protein [Hyphomonadaceae bacterium JAD_PAG50586_4],47.0,47.0,61%,0.015,27.35,230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UPT61513.1?report=genbank&log$=prottop&blast_rank=482&RID=AVF030C7015"",""UPT61513.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Roseateles sp.],47.0,47.0,30%,0.016,46.55,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEY8879402.1?report=genbank&log$=prottop&blast_rank=483&RID=AVF030C7015"",""HEY8879402.1"")"
2 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Variovorax boronicumulans],47.0,47.0,57%,0.016,29.73,227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_307692800.1?report=genbank&log$=prottop&blast_rank=484&RID=AVF030C7015"",""WP_307692800.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Novosphingobium sp.],46.6,46.6,93%,0.016,26.26,201,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_310531292.1?report=genbank&log$=prottop&blast_rank=485&RID=AVF030C7015"",""WP_310531292.1"")"
2 member(s) 2 organism(s),a-proteobacteria,hypothetical protein ATE76_02365 [Sphingopyxis sp. H093],46.6,46.6,56%,0.016,29.91,191,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KTE15640.1?report=genbank&log$=prottop&blast_rank=486&RID=AVF030C7015"",""KTE15640.1"")"
2 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Acinetobacter sp. Ac_5812],47.0,47.0,31%,0.016,38.98,232,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_171551888.1?report=genbank&log$=prottop&blast_rank=487&RID=AVF030C7015"",""WP_171551888.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium yanoikuyae],47.0,47.0,42%,0.016,34.18,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_169861186.1?report=genbank&log$=prottop&blast_rank=488&RID=AVF030C7015"",""WP_169861186.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Sulfotelmatobacter sp.],45.4,45.4,29%,0.016,42.59,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGA2391492.1?report=genbank&log$=prottop&blast_rank=489&RID=AVF030C7015"",""MGA2391492.1"")"
1 member(s) 1 organism(s),b-proteobacteria,MULTISPECIES: lasso peptide biosynthesis B2 protein [Rubrivivax],47.0,47.0,30%,0.016,45.61,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_009858734.1?report=genbank&log$=prottop&blast_rank=490&RID=AVF030C7015"",""WP_009858734.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],47.0,47.0,41%,0.016,34.15,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEY2402064.1?report=genbank&log$=prottop&blast_rank=491&RID=AVF030C7015"",""HEY2402064.1"")"
3 member(s) 2 organism(s),a-proteobacteria,MULTISPECIES: lasso peptide biosynthesis B2 protein [unclassified Sphingopyxis],46.6,46.6,56%,0.016,29.91,221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_058539832.1?report=genbank&log$=prottop&blast_rank=492&RID=AVF030C7015"",""WP_058539832.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Rubrivivax albus],46.6,46.6,49%,0.017,31.91,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_158288980.1?report=genbank&log$=prottop&blast_rank=493&RID=AVF030C7015"",""WP_158288980.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas sp.],46.2,46.2,30%,0.017,40.35,164,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_294062555.1?report=genbank&log$=prottop&blast_rank=494&RID=AVF030C7015"",""WP_294062555.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Allosphingosinicella sp.],46.6,46.6,60%,0.017,30.70,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEX8215695.1?report=genbank&log$=prottop&blast_rank=495&RID=AVF030C7015"",""HEX8215695.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Longimicrobium sp.],45.4,45.4,47%,0.017,35.87,136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_329686578.1?report=genbank&log$=prottop&blast_rank=496&RID=AVF030C7015"",""WP_329686578.1"")"
1 member(s) 1 organism(s),high G+C Gram-positive bacteria,lasso peptide biosynthesis B2 protein [Haloechinothrix sp. LS1_15],47.0,47.0,39%,0.017,34.67,284,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDV6014118.1?report=genbank&log$=prottop&blast_rank=497&RID=AVF030C7015"",""MDV6014118.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Novosphingobium sp. 1529],46.6,46.6,57%,0.017,32.11,217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_354490087.1?report=genbank&log$=prottop&blast_rank=498&RID=AVF030C7015"",""WP_354490087.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],47.0,47.0,48%,0.017,35.16,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGH8294817.1?report=genbank&log$=prottop&blast_rank=499&RID=AVF030C7015"",""MGH8294817.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Roseateles agri],47.0,47.0,63%,0.017,32.56,255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_320427066.1?report=genbank&log$=prottop&blast_rank=500&RID=AVF030C7015"",""WP_320427066.1"")"
1 member(s) 1 organism(s),a-proteobacteria,hypothetical protein [Sphingomonadales bacterium],46.6,46.6,34%,0.017,39.13,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEA3017064.1?report=genbank&log$=prottop&blast_rank=501&RID=AVF030C7015"",""MEA3017064.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrales bacterium],45.8,45.8,31%,0.018,43.33,154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEY4839568.1?report=genbank&log$=prottop&blast_rank=502&RID=AVF030C7015"",""HEY4839568.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Nitrospira sp.],45.4,45.4,31%,0.018,39.66,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEU5409259.1?report=genbank&log$=prottop&blast_rank=503&RID=AVF030C7015"",""HEU5409259.1"")"
1 member(s) 1 organism(s),bacteria,MAG: hypothetical protein AUG89_02540 [Acidobacteria bacterium 13_1_20CM_4_56_7],45.4,45.4,31%,0.018,37.93,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OLE14277.1?report=genbank&log$=prottop&blast_rank=504&RID=AVF030C7015"",""OLE14277.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Acidobacteriota bacterium],45.8,45.8,57%,0.018,29.06,158,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBS1864628.1?report=genbank&log$=prottop&blast_rank=505&RID=AVF030C7015"",""MBS1864628.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Pelomonas candidula],47.0,47.0,74%,0.018,28.95,255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_394416739.1?report=genbank&log$=prottop&blast_rank=506&RID=AVF030C7015"",""WP_394416739.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas adhaesiva],46.6,46.6,31%,0.018,37.29,215,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_335307316.1?report=genbank&log$=prottop&blast_rank=507&RID=AVF030C7015"",""WP_335307316.1"")"
2 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Burkholderia oklahomensis],46.6,46.6,63%,0.018,31.78,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_010115569.1?report=genbank&log$=prottop&blast_rank=508&RID=AVF030C7015"",""WP_010115569.1"")"
